Feed,List,Title,Description,Text,FeedNode,FeedFields,Selected,BarName,CORS,TopFields,AllFields,URL
film-scouting,film-scouting,Film Scounting Locations,,TRUE,,,,,,,,https://raw.githubusercontent.com/GeorgiaFilm/cameraready_locations_curl/main/cameraready.json
videos,videos,BigBunny,https://docs.google.com/spreadsheets/d/e/2PACX-1vSxfv7lxikjrmro3EJYGE_134vm5HdDszZKt4uKswHhsNJ_-afSaG9RoA4oeNV656r4mTuG3wTu38pM/pub?gid=2033608149&single=true&output=csv,TRUE,,,,,,,,https://raw.githubusercontent.com/ModelEarth/feed/refs/heads/main/src/Data/test.json
modelteam,modelteam,Model Earth Team,Participants List - Coding Meetup Integration,TRUE,,,,,,"Name,Team,Status,Location,Projects",,https://docs.google.com/spreadsheets/d/e/2PACX-1vRh5-bIR4hC1f9H3NtDCNT19hZXnqz8WRrBwTuLGnZiA5PWhFILUv2nS2FKE2TZ4dZ-RnJkZwHx1t2Y/pub?gid=1054734503&single=true&output=csv
democracylab,democracylab,Democracy Lab Projects,Limited to model.earth. Not visible on localhost.,,CORS is allowed for model.earth,,,,TRUE,,,https://www.democracylab.org/api/projects?page=2&sortField=-project_date_modified
data-pipleline,data-pipleline,Data Pipeline,Analysis of python for n8n workflow,,,,,,,,,https://raw.githubusercontent.com/ModelEarth/data-pipeline/refs/heads/main/nodes.csv
products-india,products-india,Products Made in India,BuildingTransparency.org product pull for India,TRUE,,,,,,,,https://raw.githubusercontent.com/Sirishaupadhyayula/products-data/refs/heads/main/IN.csv
nasa,nasa,NASA Image Feed,NASA images by Roberto Colombari,TRUE,,,"['title', 'date', 'explanation', 'url', 'hdurl']",title,,,,https://api.nasa.gov/planetary/apod?api_key=DEMO_KEY&hd=True&count=5
seeclickfix-311,seeclickfix-311,See Click Fix - v2,"An open issue regarding illegal dumping, posted by a user named reddancer in Vallejo CA - posted on a site called SeeClickFix.com",TRUE,issues,"summary, description, address, html_url, latitude, longitude",['issues'],summary,,,,https://seeclickfix.com/api/v2/issues?lat=$latitude&lng=$longitude&zoom=8&per_page=10
test,test,SeeClickFix Test,SeeClickFix feeds from multiple locations,TRUE,,,,,,,,https://seeclickfix.com/api/v2/issues?lat=41.307&lng=-72.925&per_page=100|https://seeclickfix.com/api/v2/issues?lat=40.7128&lng=-74.0060&per_page=100
bsky,bsky,BlueSky Model.Earth RSS,Model.Earth's BlueSky post data,TRUE,,,,,TRUE,,,https://bsky.app/profile/did:plc:ileopdnhib52emw3veem5zxk/rss
